Code,District,"TOTAL Supply (2010, Af)","Local Groundwater (2010, AF)","Local Surface Water (2010, AF)","Local Desalination (2010, AF)","Local Recycled (2010, AF)","SFRW (2010, AF)","SWP (2010, AF)","Vallejo Permit (2010, AF)","Vallejo Treated (2010, AF)","Napa Treated (2010, AF)","TOTAL USE (2010, AF)","Residential (2010, AF)","Commercial (2010, AF)","Industrial (2010, AF)","Landscape (2010, AF)","Ag (2010, AF)","Institutional (2010, AF)",# Rebate Programs,,,,,
246,North Tahoe Public Utility District,,,,,,,,,,,,,,,,,,,,,,,
247,North of The River Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
248,"Norwalk, City of",,,,,,,,,,,,,,,,,,,,,,,
249,"Oceanside, City of",,,,,,,,,,,,,,,,,,,,,,,
250,Oildale Mutual Water Company,,,,,,,,,,,,,,,,,,,,,,,
251,Olivehurst Public Utilities District,,,,,,,,,,,,,,,,,,,,,,,
252,"Olivenhain, City of",,,,,,,,,,,,,,,,,,,,,,,
253,"Ontario, City of",,,,,,,,,,,,,,,,,,,,,,,
254,"Orange, City of",,,,,,,,,,,,,,,,,,,,,,,
255,Orange Vale Water Company,,,,,,,,,,,,,,,,,,,,,,,
256,Orchard Dale Water District,,,,,,,,,,,,,,,,,,,,,,,
257,Otay Water District,,,,,,,,,,,,,,,,,,,,,,,
258,"Oxnard, City of",,,,,,,,,,,,,,,,,,,,,,,
259,Padre Dam Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
260,Palmdale Water District,,,,,,,,,,,,,,,,,,,,,,,
261,"Palo Alto, City of",,,,,,,,,,,,,,,,,,,,,,,
262,Paradise Irrigation District,,,,,,,,,,,,,,,,,,,,,,,
263,"Paramount, City of",,,,,,,,,,,,,,,,,,,,,,,
264,Park Water Company,,,,,,,,,,,,,,,,,,,,,,,
265,"Pasadena, City of",,,,,,,,,,,,,,,,,,,,,,,
266,"Paso Robles, City of",,,,,,,,,,,,,,,,,,,,,,,
267,"Patterson, City of",,,,,,,,,,,,,,,,,,,,,,,
268,"Petaluma, City of",,,,,,,,,,,,,,,,,,,,,,,
269,Phelan Pinon Hills Community Services District,,,,,,,,,,,,,,,,,,,,,,,
270,"Pico Rivera, City of",,,,,,,,,,,,,,,,,,,,,,,
271,Pico Water District,,,,,,,,,,,,,,,,,,,,,,,
272,"Pismo Beach, City of",,,,,,,,,,,,,,,,,,,,,,,
273,"Pittsburg, City of",,,,,,,,,,,,,,,,,,,,,,,
274,Placer County Water Agency,,,,,,,,,,,,,,,,,,,,,,,
275,"Pleasanton, City of",,,,,,,,,,,,,,,,,,,,,,,
276,"Pomona, City of",,,,,,,,,,,,,,,,,,,,,,,
277,"Port Hueneme, City of",,,,,,,,,,,,,,,,,,,,,,,
278,Port Hueneme Water Agency,,,,,,,,,,,,,,,,,,,,,,,
279,"Porterville, City of",,,,,,,,,,,,,,,,,,,,,,,
280,"Poway, City of",,,,,,,,,,,,,,,,,,,,,,,
281,Quartz Hill Water District,,,,,,,,,,,,,,,,,,,,,,,
282,Rainbow Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
283,Ramona Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
284,Rancho California Water District,,,,,,,,,,,,,,,,,,,,,,,
285,"Red Bluff, City of",,,,,,,,,,,,,,,,,,,,,,,
286,"Redding, City of",,,,,,,,,,,,,,,,,,,,,,,
287,"Redlands, City of",,,,,,,,,,,,,,,,,,,,,,,
288,"Redwood City, City of",,,,,,,,,,,,,,,,,,,,,,,
289,"Reedley, City of",,,,,,,,,,,,,,,,,,,,,,,
290,"Rialto, City of",,,,,,,,,,,,,,,,,,,,,,,
291,Rincon del Diablo Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
292,Rio Linda - Elverta Community Water District,,,,,,,,,,,,,,,,,,,,,,,
293,"Rio Vista, City of",,,,,,,,,,,,,,,,,,,,,,,
294,"Riverbank, City of",,,,,,,,,,,,,,,,,,,,,,,
295,"Riverside, City of",,,,,,,,,,,,,,,,,,,,,,,
296,Riverside Highland Water Company,,,,,,,,,,,,,,,,,,,,,,,
297,"Rohnert Park, City of",,,,,,,,,,,,,,,,,,,,,,,
298,Rosamond Community Services District,,,,,,,,,,,,,,,,,,,,,,,
299,"Roseville, City of",,,,,,,,,,,,,,,,,,,,,,,
300,Rowland Water District,,,,,,,,,,,,,,,,,,,,,,,
301,Rubidoux Community Services District,,,,,,,,,,,,,,,,,,,,,,,
302,Rubio Canyon Land & Water Assoc,,,,,,,,,,,,,,,,,,,,,,,
303,"Sacramento, City of",,,,,,,,,,,,,,,,,,,,,,,
304,Sacramento County Water Agency,,,,,,,,,,,,,,,,,,,,,,,
305,Sacramento Suburban Water District,,,,,,,,,,,,,,,,,,,,,,,
306,San Antonio Water Company,,,,,,,,,,,,,,,,,,,,,,,
307,San Benito County Water District,,,,,,,,,,,,,,,,,,,,,,,
308,"San Bernardino, City of",,,,,,,,,,,,,,,,,,,,,,,
309,San Bernardino County Service Area 64,,,,,,,,,,,,,,,,,,,,,,,
310,San Bernardino Valley Regional Urban Water Management Alliance,,,,,,,,,,,,,,,,,,,,,,,
311,"San Bruno, City of",,,,,,,,,,,,,,,,,,,,,,,
312,"San Buenaventura, City of",,,,,,,,,,,,,,,,,,,,,,,
313,"San Clemente, City of",,,,,,,,,,,,,,,,,,,,,,,
314,"San Diego, City of",,,,,,,,,,,,,,,,,,,,,,,
315,San Diego County Water Authority,,,,,,,,,,,,,,,,,,,,,,,
316,San Dieguito Water District,,,,,,,,,,,,,,,,,,,,,,,
317,"San Fernando, City of",,,,,,,,,,,,,,,,,,,,,,,
318,San Francisco Public Utilities Commission,,,,,,,,,,,,,,,,,,,,,,,
319,San Gabriel County Water District,,,,,,,,,,,,,,,,,,,,,,,
320,San Gabriel Valley Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
321,San Gabriel Valley Water Company- Fontana,,,,,,,,,,,,,,,,,,,,,,,
322,San Gabriel Valley Water Company - LA Division,,,,,,,,,,,,,,,,,,,,,,,
323,San Gorgonio Pass Water Agency,,,,,,,,,,,,,,,,,,,,,,,
324,"San Jacinto, City of",,,,,,,,,,,,,,,,,,,,,,,
325,"San Jose, City of",,,,,,,,,,,,,,,,,,,,,,,
