"","pwsid","district","severity","simpson","ground","surf","imported","recycled","desal","tot.source","propground","propsurf","propdesal","proprecyc","propbank","propimport","casgem","adj","totgpcd15","rgpcd15","totgpcd10","rgpcd10","changetot","changer","medinc","buyertier","sellertier","buyers","sellers","region"
"82",1910044,"Glendora, City of",193.8227,0.11318861,1,1,1,0,0,3,0.939750811,0.000768049,0,0,0,0.059395801,"21.25","1",159.36,124.3009703,170,133,-6.26,-7,76.967,1,3,1,1,"South"
"83",1910047,"Hawthorne, City of",196,0.038927619,0,0,1,1,0,2,0,0,0,0.019858156,0,0.980141844,"20.75","1",81.52,64.40179497,81,67,0.64,-4,45.931,0,3,0,1,"South"
"84",1910049,"Huntington Park, City of",195.9725,0.413774905,1,0,1,1,0,3,0.714431725,0,0,0.010425184,0,0.275143091,"24.75","1",58.97,38.15378253,61,40,-3.33,-5,39.041,0,3,0,1,"South"
"85",1910052,"CA-American Water - Los Angeles",196,0.578240559,3,1,3,0,0,7,0.823700276,0.082315872,0,0,0,0.093983852,"20.75,24.75,19.25","1,1,0",148.99,116.21349,161,125,-7.46,-7,70.119,0,3,0,3,"South"
"86",1910062,"La Verne, City of",193.8227,0.449415425,1,0,1,0,0,2,0.340964508,0,0,0,0,0.659035492,"21.25","1",182.64,138.3289054,215,160,-15.05,-14,69.188,0,3,0,1,"South"
"87",1910063,"Lincoln Avenue Water Company",195.9725,0.338735024,1,0,1,0,0,2,0.216041397,0,0,0,0,0.783958603,"20.75","1",149.08,102.8684326,113,98,31.93,5,83.733,0,3,0,1,"South"
"88",1910065,"Long Beach Water Department",195.2650667,0.568160449,1,0,1,1,0,3,0.54619531,0,0,0.10332871,0,0.35047598,"0.0,20.75,24.75","0,1,1",98.73,72.07052638,100,69,-1.27,4,58.875,0,2,0,1,"South"
"89",1910067,"Los Angeles Department of Water and Power",197.184975,0.625112315,1,2,1,1,0,5,0.138587196,0.359581045,0,0.026789588,0,0.475042171,"20.75,24.75,19.25,0.0,21.25,20.75,19.75","1,1,0,0,1,1,1",108.18,73.5602691,113,77,-4.27,-4,51.646,0,2,0,1,"South"
"90",1910073,"Lomita, City of",196,0.46408742,1,0,1,0,0,2,0.365998917,0,0,0,0,0.634001083,"20.75","1",88.56,79.70681156,90,81,-1.6,-2,60.861,0,3,0,1,"South"
"91",1910077,"Golden State Water Company - Florence-Graham",195.9725,0.451198352,1,0,1,0,0,2,0.656207631,0,0,0,0,0.343792369,"24.75","1",64.13,50.59957617,65,53,-1.34,-5,33.625,0,3,0,1,"South"
"92",1910079,"Lynwood, City of",195.9725,0.085967196,1,0,1,0,0,2,0.954990551,0,0,0,0,0.045009449,"24.75","1",71.66,35.1785422,78,35,-8.13,1,44.022,0,3,0,1,"South"
"93",1910083,"Manhattan Beach, City of",196,0.521111279,1,0,1,1,0,3,0.371210778,0,0,0.046622939,0,0.582166283,"20.75","1",114.8,80.93154127,122,86,-5.9,-6,137.538,0,3,0,1,"South"
"95",1910090,"Monrovia, City of",194.8976,0,1,0,0,0,0,1,1,0,0,0,0,0,"21.25,20.75","1,1",147.93,125.7365961,162,107,-8.69,18,73.203,NA,NA,NA,NA,"South"
"96",1910091,"Montebello Land and Water Company",195.9725,0,1,0,0,0,0,1,1,0,0,0,0,0,"24.75","1",83.04,66.43495775,87,69,-4.55,-4,45.801,NA,NA,NA,NA,"South"
"97",1910096,"Newhall County Water District",200.7674,0,0,0,1,0,0,1,0,0,0,0,0,1,"22.75","0",160.62,135.9008352,190,126,-15.46,8,75.845,0,2,0,1,"South"
"99",1910102,"Palmdale Water District",144.0867,0.581573309,1,1,1,0,0,3,0.404040404,0.101010101,0,0,0,0.494949495,"21.5","0",130.44,104.3533297,161,129,-18.98,-19,47.7245,1,1,1,1,"South"
"100",1910104,"CA Water Service Co - Palos Verdes",196,0,0,0,1,0,0,1,0,0,0,0,0,1,"20.75","1",212.76,169.9979357,216,178,-1.5,-4,106.25,0,3,0,1,"South"
"101",1910105,"Paramount, City of",194.8976,0.518204124,1,0,1,1,0,3,0.593546561,0,0,0.050099066,0,0.356354373,"24.75","1",97.19,60.25795143,85,56,14.34,8,45.868,0,3,0,1,"South"
"102",1910124,"Pasadena, City of",195.9725,0.507721679,1,1,1,0,0,3,0.313468539,0.061882475,0,0,0,0.624648986,"21.25,20.75","1,1",146.47,101.7981909,158,106,-7.3,-4,81.2085,1,2,1,1,"South"
"103",1910125,"Pico Water District",194.8976,0,1,0,0,0,0,1,1,0,0,0,0,0,"24.75","1",97.69,87.9231684,104,94,-6.06,-6,58.889,NA,NA,NA,NA,"South"
"104",1910126,"Pomona, City of",151.22935,0.674913605,3,1,1,0,0,5,0.678030483,0.153696406,0,0.003466122,0,0.164806989,"21.25,0.0","1,1",109.98,80.28901799,122,86,-9.85,-7,55.333,0,3,0,1,"South"
"105",1910130,"Quartz Hill Water District",144.0867,0.456104252,1,0,1,0,0,2,0.351851852,0,0,0,0,0.648148148,"21.5","0",175.41,171.9004569,258,253,-32.01,-32,71.94,0,2,0,1,"South"
"106",1910134,"CA Water Service Co - Hermosa Redondo District",196,0.220406662,1,0,1,1,0,3,0.113774369,0,0,0.010706296,0,0.875519335,"20.75","1",100.33,69.63224396,103,78,-2.59,-11,91.705,0,3,0,1,"South"
"107",1910140,"Rubio Canyon Land & Water Assoc",195.9725,0.530423571,1,1,1,0,0,3,0.60243309,0.081265207,0,0,0,0.316301703,"20.75","1",158.28,144.0309777,177,162,-10.58,-11,101.6245,0,3,0,1,"South"
"108",1910142,"Golden State Water Company - San Dimas",193.8227,0.451376618,1,1,1,0,0,3,0.312866969,0.015936923,0,0,0,0.671112229,"21.25","1",155.31,107.9386766,177,115,-12.26,-6,78.9895,0,3,0,2,"South"
"109",1910143,"San Fernando, City of",195.9725,0,1,0,0,0,0,1,1,0,0,0,0,0,"19.75","1",104.31,87.62034879,113,95,-7.69,-8,54.94,NA,NA,NA,NA,"South"
"110",1910144,"San Gabriel County Water District",195.9725,0,1,0,0,0,0,1,1,0,0,0,0,0,"21.25","1",105.78,79.33177373,109,82,-2.96,-3,50.268,NA,NA,NA,NA,"South"
"111",1910146,"Santa Monica, City of",196,0.266503536,1,0,1,1,0,3,0.148827138,0,0,0.00779502,0,0.843377842,"19.25","0",113.39,74.83713496,116,76,-2.25,-2,81.667,0,2,0,1,"South"
"112",1910148,"Sierra Madre, City of",195.9725,0.150247934,1,1,0,0,0,2,0.918181818,0.081818182,0,0,0,0,"20.75","1",154.24,149.6168331,171,165,-9.8,-9,107.407,NA,NA,NA,NA,"South"
"113",1910152,"South Gate, City of",195.9725,0,1,0,0,0,0,1,1,0,0,0,0,0,"24.75","1",71.58,64.42093642,75,68,-4.56,-5,40.9855,NA,NA,NA,NA,"South"
"114",1910154,"South Pasadena, City of",195.9725,0.010497293,1,0,1,0,0,2,0.994723512,0,0,0,0,0.005276488,"21.25,20.75,19.75","1,1,1",118.31,97.21207526,125,94,-5.36,3,75.667,0,3,0,1,"South"
"115",1910155,"Golden State Water Company - Southwest",195.98625,0.596138321,2,0,1,0,0,3,0.571270829,0,0,0.007327846,0,0.421401325,"20.75,24.75","1,1",88.52,62.58394272,92,62,-3.78,1,47.531,0,3,0,1,"South"
"116",1910156,"Beverly Hills, City of",196,0.179975594,1,0,1,0,0,2,0.099984747,0,0,0,0,0.900015253,"24.75,19.25,0.0","1,0,0",217.81,163.3551892,217,147,0.37,11,93.3625,0,2,0,1,"South"
"117",1910157,"Sunny Slope Water Company",193.7665,0.288228554,2,0,0,0,0,2,1,0,0,0,0,0,"21.25,20.75,0.0,0.0","1,1,0,0",94.4,79.28058653,100,85,-5.6,-7,71.646,NA,NA,NA,NA,"North"
"118",1910166,"Valley Water Company",195.9725,0.386225673,1,0,1,0,0,2,0.261489699,0,0,0,0,0.738510301,"20.75","1",268.53,230.9324568,299,263,-10.19,-12,153.029,0,3,0,1,"South"
"119",1910167,"Vernon, City of",195.9725,0.279208151,1,0,1,0,0,2,0.841649809,0,0,0.082715217,0,0.075747359,"24.75","1",55341.77,42.05974762,67832,41,-18.41,3,35.344,0,3,0,1,"South"
"120",1910173,"Whittier, City of",193.8227,0.018356812,1,0,0,1,0,2,0.990735768,0,0,0.009264232,0,0,"24.75,21.25","1,1",127.62,91.88323394,129,93,-1.07,-1,64.793,NA,NA,NA,NA,"South"
"121",1910179,"Burbank, City of",195.9725,0.579409302,1,0,1,1,0,3,0.454637143,0,0,0.092146885,0,0.453215972,"19.75","1",126.59,92.96518411,135,97,-6.23,-4,72.256,0,2,0,1,"South"
"122",1910189,"San Gabriel Valley Municipal Water District",195.9725,0,0,0,1,0,0,1,0,0,0,0,0,1,"24.75,21.25","1,1",149.08,97.49839337,175,114,-14.81,-14,48.224,0,1,0,1,"South"
"123",1910191,"Norwalk, City of",193.8227,0,0,0,0,0,0,0,0,0,0,0,0,0,"24.75","1",96.47,91.64376847,101,96,-4.49,-5,61.25,NA,NA,NA,NA,"South"
"124",1910194,"Rowland Water District",193.8227,0.087393562,1,0,1,1,0,3,0.036219925,0,0,0.009206983,0,0.954573091,"0.0,21.25","0,1",148.4,75.68443968,153,78,-3.01,-3,63.203,0,3,0,1,"South"
"125",1910200,"Suburban Water Systems - San Jose Hills",193.8227,0.530586025,1,0,4,1,0,6,0.536108255,0,0,0.039067493,0,0.424824252,"","",118.06,82.9522343,130,92,-9.18,-10,92.898,0,4,0,4,"South"
"126",1910204,"Los Angeles County Water District #29",195.98625,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,19.25","0,0",287.97,236.1314031,281,230,2.48,3,120.56,0,3,0,1,"South"
"127",1910213,"Torrance, City of",196,0.169205098,1,0,2,0,1,4,0.043904569,0,0.046881823,0,0,0.909213608,"20.75","1",136.47,73.6952866,132,75,3.39,-2,77.438,0,3,0,2,"South"
"128",1910223,"Golden State Water Company - South San Gabriel",195.9725,0.21972499,1,0,1,0,0,2,0.8746746,0,0,0,0,0.125697285,"24.75,21.25","1,1",77.63,62.49016491,81,62,-4.16,1,42.244,0,3,0,1,"South"
"129",1910225,"Las Virgenes Water District",195.9908333,0,0,0,1,0,0,1,0,0,0,0,0,1,"0.0,0.0,0.0,19.75","0,0,0,1",212.35,182.6206892,230,161,-7.67,13,116.848,0,2,0,1,"South"
"130",1910234,"Walnut Valley Water District",193.8227,0.160203453,1,0,1,1,0,3,0.024268934,0,0,0.061730573,0,0.914000494,"21.25","1",130.9,112.5738237,142,120,-7.82,-6,86.667,1,3,1,1,"South"
"131",1910239,"Lakewood, City of",193.8227,0.088643595,1,0,0,1,0,2,0.953517588,0,0,0.046482412,0,0,"24.75","1",99.45,83.53592569,104,74,-4.38,13,81.8855,NA,NA,NA,NA,"South"
"132",1910240,"Valencia Water Company",200.7674,0,0,0,1,0,0,1,0,0,0,0,0,1,"22.75","0",175.06,91.16965047,210,104,-16.64,-12,100.625,0,3,0,1,"South"
"133",1910245,"Santa Fe Springs, City of",194.8976,0.366304525,1,0,2,1,0,4,0.141326986,0,0,0.079291877,0,0.779381137,"24.75","1",258.71,69.85299454,276,75,-6.26,-7,66.709,0,3,0,2,"South"
"135",2010002,"Madera, City of",216.5049,0,1,0,0,0,0,1,1,0,0,0,0,0,"25","0",129.99,89.69335754,160,136,-18.76,-34,34.8,NA,NA,NA,NA,"North"
