"pwsname","pwsid","severity"
"Lompoc, City of",4210006,198.8082
"Santa Barbara, City of",4210010,198.0535
"Santa Maria, City of",4210011,200.7561
"Golden State Water Company - Orcutt",4210016,200.7561
"Ca Water Service Co - Los Altos Suburban District",4310001,142.1263
"Gilroy, City of",4310004,180.8032
"Milpitas, City of",4310005,142.1263
"Morgan Hill, City of",4310006,161.46475
"Mountain View, City of",4310007,142.1263
"Palo Alto, City of",4310009,138.7446
"San Jose Water Company",4310011,135.1589
"Santa Clara, City of",4310012,142.1263
"Sunnyvale, City of",4310014,142.1263
"San Jose, City of",4310020,142.1263
"Great Oaks Water Company",4310022,142.1263
"Santa Clara Valley Water District",4310027,156.454866666666
"Santa Cruz, City of",4410010,128.1915
"Watsonville, City of",4410011,154.49735
"Scotts Valley Water District",4410013,128.1915
"Soquel Creek Water District",4410017,128.1915
"Redding, City of",4510005,97.36535
"Shasta Lake, City of",4510006,88.3057666666665
"Bella Vista Water District",4510014,123.15165
"Yreka, City of",4710011,37.711
"Benecia, City of",4810001,128.8432
"CA Water Service Co - Dixon District",4810002,159.7735
"Fairfield, City of",4810003,128.8432
"Rio Vista, City of",4810004,159.7735
"Vallejo, City of",4810007,114.87625
"Vacaville, City of",4810008,144.30835
"Sweetwater Springs Water District",4910004,73.3049
"Petaluma, City of",4910006,100.9093
"Santa Rosa, City of",4910009,87.1071
"Sonoma, City of",4910012,100.9093
"Valley of the Moon Water District",4910013,100.9093
"Rohnert Park, City of",4910014,87.1071
"Windsor, town of Water District",4910017,73.3049
"CA Water Service Co - Redwood Valley",4910018,73.3049
"Patterson, City of",5010017,185.1403
"Riverbank, City of",5010018,185.1403
"Turlock, City of",5010019,185.1403
"Ceres, City of",5010028,185.1403
"Modesto, City of",5010033,185.1403
"Modesto Irrigation District",5010038,185.1403
"South San Joaquin Irrigation District",5010040,179.28255
"Yuba City, City of",5110002,173.927
"Red Bluff, City of",5210004,127.1148
"Dinuba, City of",5410002,203.0267
"Exeter, City of",5410003,203.0267
"Porterville, City of",5410010,203.0267
"Tulare, City of",5410015,203.0267
"CA Water Service Co - Visalia",5410041,203.0267
"Tuolumne Utilities District",5510003,180.2638
"Groveland Community Services District",5510009,180.2638
"Oxnard, City of",5610007,186.446066666667
"Port Hueneme, City of",5610009,182
"Santa Paula, City of",5610011,186.7674
"Golden State Water Company - Ojai",5610014,190.5708
"San Buenaventura, City of",5610017,186.446066666667
"Camarillo, City of",5610019,182
"Ventura County Waterworks District #8",5610023,181.98625
"Casitas Municipal Water District",5610024,191.797233333333
"CA-American Water - Ventura",5610040,182
"Triunfo Sanitation District",5610043,182
"United Water Conservation District",5610046,186.446066666667
"Calleguas Municipal Water District",5610050,183.184975
"Golden State Water Company - Simi Valley",5610059,182
"Camrosa Water District",5610063,182
"Port Hueneme Water Agency",5610080,182
"Davis City of",5710001,159.7735
"West Sacramento, City of",5710003,159.7735
"Woodland, City of",5710006,159.7735
"CA Water Service Co - Marysville",5810001,173.9097
"Linda County Water District",5810002,173.927
"Olivehurst Public Utilities District",5810003,173.9635
